"id","region","year","type","wacc","population","gdp","gdp_per_capita","emission_reduction_target_wo_lulucf","emission_reduction_target_wo_lulucf_waste","households","person_per_household","living_space","living_space_per_capita","residential_and_nonresidential_apartments","empty_second_residence","apartments_in_residential_buildings","apartment_share","living_space_in_residential_buildings","living_space_share","living_space_in_residential_buildings_per_capita","residential_building","apartments_per_residential_building","equivalence_factor_co2_ch4","equivalence_factor_co2_n2o","bandwidth_type","version","method","source","comment"
1,"DE",2021,"global_scalars","2.00",83.24,3617.45,43459.64,759.6,753.8,40.97,2.03,3967.9,47.67,43.08,2.11,41.66,96.7,3841.44,96.81,46.15,19.38,2.15,28.0,265.0,"","srd_point_draft","{}","{}","{}"
2,"DE",2024,"global_scalars","2.00",84.74,3720.65,43907.67,682.0,676.79,41.29,2.05,4030.62,47.57,43.57,2.29,42.13,96.7,3902.16,96.81,46.05,19.58,2.15,28.0,265.0,"","srd_point_draft","{}","{}","{}"
3,"DE",2027,"global_scalars","2.00",85.1,3826.02,44961.75,565.0,560.68,41.47,2.05,4045.07,47.54,43.66,2.19,42.22,96.7,3916.15,96.81,46.02,19.61,2.15,28.0,265.0,"","srd_point_draft","{}","{}","{}"
4,"DE",2030,"global_scalars","2.00",85.27,3901.98,45760.5,438.0,434.65,41.74,2.04,4059.52,47.61,43.84,2.1,42.39,96.7,3930.14,96.81,46.09,19.67,2.15,28.0,265.0,"","srd_point_draft","{}","{}","{}"
5,"DE",2035,"global_scalars","2.00",85.2,4086.6,47963.88,294.04,291.79,42.44,2.01,4185.22,49.12,44.37,1.93,42.91,96.7,4051.83,96.81,47.56,19.89,2.16,28.0,265.0,"","srd_point_draft","{}","{}","{}"
6,"DE",2040,"global_scalars","2.00",84.97,4360.9,51322.35,150.08,148.93,42.94,1.98,4253.72,50.06,44.71,1.77,43.24,96.7,4118.15,96.81,48.47,20.02,2.16,28.0,265.0,"","srd_point_draft","{}","{}","{}"
7,"DE",2045,"global_scalars","2.00",84.59,4642.65,54886.49,0.0,0.0,43.37,1.95,4249.12,50.23,44.98,1.61,43.49,96.7,4113.7,96.81,48.63,20.12,2.16,28.0,265.0,"","srd_point_draft","{}","{}","{}"
8,"DE",2050,"global_scalars","2.00",84.08,4942.6,58786.05,0.0,0.0,43.73,1.92,4238.42,50.41,45.18,1.45,43.69,96.7,4103.34,96.81,48.8,20.18,2.16,28.0,265.0,"","srd_point_draft","{}","{}","{}"
9,"DE",2060,"global_scalars","2.00",83.61,5547.46,66348.53,0.0,0.0,44.76,1.87,4244.57,50.77,45.89,1.13,44.38,96.7,4109.29,96.81,49.15,20.45,2.17,28.0,265.0,"","srd_point_draft","{}","{}","{}"
10,"DE",2070,"global_scalars","2.00",83.55,6226.33,74518.65,0.0,0.0,46.04,1.81,4271.57,51.12,46.85,0.81,45.3,96.7,4135.43,96.81,49.49,20.83,2.17,28.0,265.0,"","srd_point_draft","{}","{}","{}"
