"id","region","year","capacity_p_inst","conversion_factor_sec_methane_orig","conversion_factor_sec_elec","conversion_factor_sec_methane","cost_var_e","lifetime","bandwidth_type","version","method","source","comment"
11,"DE",2021,"[3624000.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""no retrofit of pipelines in 2021"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
12,"DE",2024,"[3442800.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 5 % retrofit potential of total H2 pipeline retrofitting potential in Germany"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
13,"DE",2027,"[3261600.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 10 % retrofit potential of total H2 pipeline retrofitting potential in Germany"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
14,"DE",2030,"[2899200.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 20 % retrofit potential of total H2 pipeline retrofitting potential in Germany, development according to the literature source"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
15,"DE",2035,"[2718000.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 25% retrofit potential of total H2 pipeline retrofitting potential in Germany, development according to the literature source"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
16,"DE",2040,"[2174400.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 40% retrofit potential of total H2 pipeline retrofitting potential in Germany, development according to the literature source"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
17,"DE",2045,"[724800.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 80% retrofit potential of total H2 pipeline retrofitting potential in Germany, development according to the literature source"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
18,"DE",2050,"[181200.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""difference between current CH4 capacity and 95 % retrofit potential of total H2 pipeline retrofitting potential in Germany,assumed"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
19,"DE",2060,"[181200.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""assumed to remain constant"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
20,"DE",2070,"[181200.0]","[1.0]","[0.025]","[1.0]","[8.0361]","[20.0]","{""capacity_p_inst"": ""values"", ""conversion_factor_sec_methane_orig"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""cost_var_e"": ""values"", ""lifetime"": ""values""}","srd_point_draft","{""capacity_p_inst"": ""assumed to remain constant"", ""conversion_factor_sec_methane_orig"": ""own assumption"", ""conversion_factor_sec_elec"": ""literature value to account for variable costs of compression"", ""conversion_factor_sec_methane"": ""own assumption"", ""cost_var_e"": ""based on own calculation"", ""lifetime"": ""own assumption""}","{""capacity_p_inst"": ""5dvgwGasnetzRuckgratWasserstoffwelt2023"", ""conversion_factor_sec_methane_orig"": ""ownAssumption"", ""conversion_factor_sec_elec"": ""5yangDeterminingLowestcostHydrogen2007"", ""conversion_factor_sec_methane"": ""ownAssumption"", ""cost_var_e"": ""ownCalculation"", ""lifetime"": ""ownAssumption""}",""
