"id","region","year","capacity_p_abs_new_max","conversion_factor_sec_hydrogen_orig","cost_var_e","bandwidth_type","version","method","source","comment"
11,"DE",2021,"[0.0]","[1.0]","[68.2]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""comment"": ""renewable h2 import only available from 2030""}"
12,"DE",2024,"[0.0]","[1.0]","[68.2]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""comment"": ""renewable h2 import only available from 2030""}"
13,"DE",2027,"[0.0]","[1.0]","[68.2]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": """"}","{""comment"": ""renewable h2 import only available from 2030""}"
14,"DE",2030,"[]","[1.0]","[68.2]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""literature values, monetary conversion from €2022 to €2021.""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
15,"DE",2035,"[]","[1.0]","[60.6]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
16,"DE",2040,"[]","[1.0]","[53.1]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""literature values, monetary conversion from €2022 to €2021.""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
17,"DE",2045,"[]","[1.0]","[47.2]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""linear interpolation""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""ownCalculation""}",""
18,"DE",2050,"[]","[1.0]","[41.4]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""literature values, monetary conversion from €2022 to €2021.""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""5TYNDP2022Scenario""}",""
19,"DE",2060,"[]","[1.0]","[41.4]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""ownAssumption""}",""
20,"DE",2070,"[]","[1.0]","[41.4]","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_hydrogen_orig"": ""values"", ""cost_var_e"": ""values""}","srd_point_draft","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""assumed to remain constant""}","{""capacity_p_abs_new_max"": """", ""conversion_factor_sec_hydrogen_orig"": """", ""cost_var_e"": ""ownAssumption""}",""
